system,message_size_key,message_size_label,message_bytes,logical_gbps_median,logical_gbps_min,logical_gbps_max,logical_gbps_mean,logical_gbps_stdev,logical_gbps_n
Arbor,64k,64 KiB,65536,7.489207566922216,7.470502970131098,7.5006302952495485,7.48787032566705,0.013166355744066622,5
ATP,64k,64 KiB,65536,7.272840870511426,7.237034674787733,7.290302502946984,7.272066501753605,0.021213974978746247,5
SwitchML,64k,64 KiB,65536,7.85326992893087,7.849959408140937,7.894983578372649,7.865621462114745,0.02049437073427024,5
Arbor,256k,256 KiB,262144,23.621674717706025,23.586558414562802,23.653611822230193,23.616749267289848,0.026170901209532714,5
ATP,256k,256 KiB,262144,21.17892529817526,21.1290468078834,21.23444092412779,21.18389317554167,0.04391572772153571,5
SwitchML,256k,256 KiB,262144,24.65536546945693,24.545024430850663,24.729698650572868,24.638542537284494,0.08283335197882148,5
Arbor,1m,1 MiB,1048576,50.89008751275377,50.88504946860628,50.95883710511963,50.904967563457795,0.031077844864326097,5
ATP,1m,1 MiB,1048576,44.083336619850634,44.01044798570996,44.33422952951131,44.13216264186727,0.12714236093145773,5
SwitchML,1m,1 MiB,1048576,52.3936072549394,52.3462350604536,52.54581141436533,52.41293703770434,0.08034085817574134,5
Arbor,4m,4 MiB,4194304,77.74864226847059,77.31981659592651,77.99112564273892,77.67593791175459,0.30606635718564845,5
ATP,4m,4 MiB,4194304,74.45979563430313,74.29168601378741,74.72604884366973,74.4762692877097,0.15674030386113783,5
SwitchML,4m,4 MiB,4194304,72.13065327753905,71.80466275980353,72.22904075538263,72.08608785652996,0.16804364148327364,5
Arbor,16m,16 MiB,16777216,90.35885162471293,90.03471228292456,90.72976523242046,90.31911616905052,0.2749380098880348,5
ATP,16m,16 MiB,16777216,89.04437914427513,88.59026457565372,89.50288978794886,88.99759596937608,0.3661398874222517,5
SwitchML,16m,16 MiB,16777216,91.7738722433013,91.556075805512,91.8375784356625,91.7467959903631,0.11349177386256061,5
Arbor,64m,64 MiB,67108864,97.21718556155491,97.13075544702116,97.31468021549888,97.23431386280083,0.07510205170971833,5
ATP,64m,64 MiB,67108864,91.6084583298851,91.1034056769881,91.79540126116513,91.51443328190595,0.31061235833843587,5
SwitchML,64m,64 MiB,67108864,96.42905982230513,96.12004395013375,96.55925604517253,96.4036217200073,0.1713278038323011,5
