x,centerX,duty,phaseSeed,arbor,atp,switchml,p2p
2.88,3,50,1,15.05033,20.715123,16.907992,44.814374
2.892632,3,50,2,14.729249,20.583472,16.908096,50.360561
2.905263,3,50,3,15.241157,21.073544,16.908374,49.424609
2.917895,3,50,4,15.093506,20.767877,16.908487,51.817739
2.930526,3,50,5,14.832661,20.919609,16.908195,41.057165
2.943158,3,50,6,14.781826,21.276697,16.907992,47.689369
2.955789,3,50,7,14.752909,20.504929,16.908701,45.095652
2.968421,3,50,8,14.805762,20.999968,16.908568,43.844157
2.981053,3,50,9,14.739588,21.1024,16.909249,42.009055
2.993684,3,50,10,14.874921,20.989516,16.908368,43.744023
3.006316,3,50,11,14.832884,20.493453,16.908772,43.931127
3.018947,3,50,12,14.998954,20.283078,16.908304,42.63709
3.031579,3,50,13,15.028498,20.509227,16.907992,50.554705
3.044211,3,50,14,15.01744,20.984967,16.907992,46.248461
3.056842,3,50,15,14.941746,20.736797,16.907992,45.665264
3.069474,3,50,16,14.523478,20.719506,16.908216,49.454639
3.082105,3,50,17,14.747643,20.623755,16.907992,42.134661
3.094737,3,50,18,14.806001,20.59495,16.908226,44.549475
3.107368,3,50,19,15.040801,20.680721,16.908022,43.794225
3.12,3,50,20,14.938885,20.729644,16.907992,44.476503
5.88,6,25,1,27.057256,33.164423,28.907992,50.724011
5.892632,6,25,2,27.02471,32.651894,28.907992,58.67218
5.905263,6,25,3,27.07061,32.563699,28.907992,53.304773
5.917895,6,25,4,26.93377,32.771992,28.907992,61.660923
5.930526,6,25,5,26.95855,33.174226,28.908072,52.135607
5.943158,6,25,6,26.793996,32.944972,28.907992,53.086231
5.955789,6,25,7,27.028439,32.680481,28.907992,58.19408
5.968421,6,25,8,27.114762,32.807365,28.907992,55.574817
5.981053,6,25,9,27.112146,32.739737,28.90805,54.371789
5.993684,6,25,10,26.762495,32.831373,28.907992,57.438755
6.006316,6,25,11,26.492937,32.622052,28.907992,53.071511
6.018947,6,25,12,26.786076,32.902192,28.907992,51.149068
6.031579,6,25,13,26.796743,32.736173,28.907992,56.185775
6.044211,6,25,14,27.053596,32.951729,28.907992,60.970578
6.056842,6,25,15,26.848918,32.853714,28.907992,52.63049
6.069474,6,25,16,27.016863,32.507366,28.907992,56.983458
6.082105,6,25,17,26.927675,32.892052,28.907992,50.593311
6.094737,6,25,18,26.87673,32.814915,28.907992,58.382251
6.107368,6,25,19,26.811992,32.728333,28.907992,56.728791
6.12,6,25,20,26.803121,32.966795,28.907992,55.723869
