critical,placement,point,qUs,goodputGbps,ceEligible,ceMarks,ceFraction
0,asym-pair,q0,0.0,197.434050135,65536,0,0.0
0,asym-pair,r100-d16000,7.755,197.140929665,65536,1159,0.017684936523
0,asym-pair,r150-d64000,10.615,196.959540442,65536,1292,0.019714355469
0,asym-pair,r50-d16000,11.88,197.028299581,65536,1213,0.018508911133
0,asym-pair,r100-d32000,15.84,196.95844755,65536,1291,0.01969909668
0,asym-pair,r150-d128000,21.285,196.707530361,65536,1568,0.02392578125
0,asym-pair,r50-d32000,24.75,196.810729827,65536,1446,0.022064208984
1,asym-pair-e-visible,q0,0.0,197.433977529,65536,0,0.0
1,asym-pair-e-visible,r100-d16000,7.755,197.16837867,65536,1221,0.018630981445
1,asym-pair-e-visible,r150-d64000,10.615,196.974245983,65536,1389,0.021194458008
1,asym-pair-e-visible,r50-d16000,11.88,197.110114075,65536,1311,0.020004272461
1,asym-pair-e-visible,r100-d32000,15.84,196.970406794,65536,1394,0.021270751953
1,asym-pair-e-visible,r150-d128000,21.285,196.741401453,65536,1666,0.025421142578
1,asym-pair-e-visible,r50-d32000,24.75,196.835218291,65536,1552,0.023681640625
