timeMs,capacityGbps,swiftGateGbps,swiftGateGbpsCi,swiftGateGbpsLow,swiftGateGbpsHigh,swiftGoodputGbps,swiftGoodputGbpsCi,swiftGoodputGbpsLow,swiftGoodputGbpsHigh,oscarGateGbps,oscarGateGbpsCi,oscarGateGbpsLow,oscarGateGbpsHigh,oscarGoodputGbps,oscarGoodputGbpsCi,oscarGoodputGbpsLow,oscarGoodputGbpsHigh,timelyGateGbps,timelyGateGbpsCi,timelyGateGbpsLow,timelyGateGbpsHigh,timelyGoodputGbps,timelyGoodputGbpsCi,timelyGoodputGbpsLow,timelyGoodputGbpsHigh,dcqcnGateGbps,dcqcnGateGbpsCi,dcqcnGateGbpsLow,dcqcnGateGbpsHigh,dcqcnGoodputGbps,dcqcnGoodputGbpsCi,dcqcnGoodputGbpsLow,dcqcnGoodputGbpsHigh
0.3,200.0,107.232894923,0.0,107.232894923,107.232894923,103.54688,0.0,103.54688,103.54688,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
0.5,200.0,125.493367025,0.0,125.493367025,125.493367025,124.5184,0.0,124.5184,124.5184,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
0.7,200.0,146.193303853,0.0,146.193303853,146.193303853,145.48992,0.0,145.48992,145.48992,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
0.9,200.0,166.893240682,0.0,166.893240682,166.893240682,166.46144,0.0,166.46144,166.46144,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
1.1,200.0,187.400804607,0.0,187.400804607,187.400804607,187.76064,0.0,187.76064,187.76064,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
1.3,200.0,200.0,0.0,200.0,200.0,198.2464,0.0,198.2464,198.2464,199.681356218,0.0,199.681356218,199.681356218,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
1.5,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
1.7,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
1.9,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
2.1,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
2.3,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
2.5,200.0,199.368201383,0.0,199.368201383,199.368201383,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.90176,0.0,198.90176,198.90176,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
2.7,200.0,199.556484809,0.0,199.556484809,199.556484809,198.90176,0.0,198.90176,198.90176,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
2.9,200.0,198.808900995,0.0,198.808900995,198.808900995,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
3.1,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
3.3,200.0,199.446025323,0.0,199.446025323,199.446025323,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.90176,0.0,198.90176,198.90176,199.805,0.0,199.805,199.805,198.90176,0.0,198.90176,198.90176
3.5,200.0,199.191099939,0.0,199.191099939,199.191099939,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
3.7,200.0,200.0,0.0,200.0,200.0,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
3.9,200.0,199.439535339,0.0,199.439535339,199.439535339,198.57408,0.0,198.57408,198.57408,198.593939394,0.0,198.593939394,198.593939394,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408,199.805,0.0,199.805,199.805,198.57408,0.0,198.57408,198.57408
4.1,100.0,92.978071625,0.0,92.978071625,92.978071625,100.92544,0.0,100.92544,100.92544,99.4476,0.0,99.4476,99.4476,100.92544,0.0,100.92544,100.92544,121.6135,0.0,121.6135,121.6135,100.92544,0.0,100.92544,100.92544,199.805,0.0,199.805,199.805,100.92544,0.0,100.92544,100.92544
4.3,100.0,99.296969697,0.0,99.296969697,99.296969697,99.28704,0.0,99.28704,99.28704,99.4476,0.0,99.4476,99.4476,99.28704,0.0,99.28704,99.28704,39.3957,0.0,39.3957,39.3957,99.28704,0.0,99.28704,99.28704,195.048,0.0,195.048,195.048,99.28704,0.0,99.28704,99.28704
4.5,100.0,99.296969697,0.0,99.296969697,99.296969697,99.28704,0.0,99.28704,99.28704,99.4476,0.0,99.4476,99.4476,99.28704,0.0,99.28704,99.28704,67.82595,0.0,67.82595,67.82595,73.40032,0.0,73.40032,73.40032,182.12025,0.116437893,182.003812107,182.236687893,99.28704,0.0,99.28704,99.28704
