critical,placement,point,qUs,observedUs,observedP10Us,observedP90Us,predictedUs,medianAbsErrorUs,pairedOffsets,deltaUs
0,asym-pair,q0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.664
0,asym-pair,r100-d16000,6.195,0.0,0.0,0.0,0.0,0.0,43,12.664
0,asym-pair,r150-d64000,6.525,0.0,0.0,0.0,0.0,0.0,175,12.664
0,asym-pair,r50-d16000,10.725,0.0,0.0,0.0,0.0,0.0,43,12.664
0,asym-pair,r100-d32000,12.685,0.166,0.0,1.242,0.021,0.0,87,12.664
0,asym-pair,r150-d128000,13.0875,0.5335,0.0,8.3575,0.4235,0.0,350,12.664
0,asym-pair,r50-d32000,21.45,8.821,0.0,9.99,8.786,0.0,87,12.664
1,asym-pair-e-visible,q0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.664
1,asym-pair-e-visible,r100-d16000,6.3425,6.635,1.5985,7.2595,6.3425,0.33,44,12.664
1,asym-pair-e-visible,r150-d64000,6.525,6.635,1.415,10.553,6.525,0.11,175,12.664
1,asym-pair-e-visible,r50-d16000,11.6625,11.6975,5.0965,12.2995,11.6625,0.0,44,12.664
1,asym-pair-e-visible,r150-d128000,12.4125,12.5225,2.5925,21.053,12.4125,0.11,332,12.664
1,asym-pair-e-visible,r100-d32000,12.8325,13.07,2.8965,14.1995,12.8325,0.33,88,12.664
1,asym-pair-e-visible,r50-d32000,22.3875,22.4225,9.2985,23.6055,22.3875,0.0,88,12.664
