backgroundCapGbps,feedbackIndex,feedback,feedbackLabel,runs,backgroundAchievedGbps,backgroundAchievedGbpsCi,collectiveGoodputGbps,collectiveGoodputGbpsCi,branchSpanP99Us,branchSpanP99UsCi,rootResidenceP99Us,rootResidenceP99UsCi,requiredDepthSlots,requiredDepthSlotsCi,peakInflightMiB,peakInflightMiBCi,peakQueueMiB,peakQueueMiBCi
0,0,fixed,Fixed gate,3,0.0,0.0,192.658592917,0.0,1.07,0.0,31.833,0.0,89.0,0.0,1.375,0.0,0.007871628,0.0
0,1,dcqcn,Group-OR ECN,3,0.0,0.0,192.515448687,0.0,1.098,0.0,31.828,0.0,84.0,0.0,1.3125,0.0,0.007871628,0.0
0,2,swift,Group completion,3,0.0,0.0,182.731223171,0.0,0.984,0.0,31.814,0.0,83.0,0.0,1.265625,0.0,0.007871628,0.0
50,0,fixed,Fixed gate,3,46.751111111,0.00764916,150.070801168,0.016440056,83.611333333,0.002868435,127.202,0.0,228.0,0.0,2.0,0.0,2.002590179,0.000146882
50,1,dcqcn,Group-OR ECN,3,36.562666667,0.235793977,159.062041462,0.54924352,237.197,0.614847921,253.467,0.004968275,696.0,0.0,5.8828125,0.033614474,5.713041941,0.00996462
50,2,swift,Group completion,3,49.456,0.017526428,141.910139838,0.402383871,35.426333333,0.089233233,63.589333333,0.001434218,116.333333333,1.434217577,1.138020833,0.011204825,0.868373871,0.00556316
100,0,fixed,Fixed gate,3,49.137777778,0.010118888,148.207336605,0.010632479,83.771666667,0.002868435,127.237,0.0,229.0,0.0,2.0,0.0,2.009037018,0.005112748
100,1,dcqcn,Group-OR ECN,3,53.673777778,1.26291669,143.971528195,1.537824204,207.376,1.678034565,252.824666667,0.061068035,607.333333333,5.171145013,5.140625,0.038814652,5.023876826,0.02620357
100,2,swift,Group completion,3,87.065777778,0.091390663,108.818249666,0.703611318,35.453666667,0.064412179,63.611666667,0.001434218,93.333333333,2.868435153,0.8828125,0.0,0.87086614,0.010188539
150,0,fixed,Fixed gate,3,49.995555556,0.016670959,147.953324787,0.006998216,83.765,0.004968275,127.243,0.0,228.666666667,1.434217577,2.0,0.0,2.008785884,0.004942004
150,1,dcqcn,Group-OR ECN,3,77.886222222,3.253881722,123.257854086,1.606473909,195.284666667,0.404977943,252.447666667,0.007985386,570.666666667,6.25160948,4.8515625,0.019407326,4.735202154,0.034324057
150,2,swift,Group completion,3,89.866666667,0.098031683,107.260440158,0.104587897,35.236666667,0.109028839,63.62,0.0,96.0,0.0,0.875,0.0,0.869162242,0.003252572
