halfIndex,startMs,endMs,timeMs,phase,dynamicBRoot0IssuedGbps,dynamicBRoot1IssuedGbps,dynamicACompletedGbps,uniformACompletedGbps
0,25.6,38.4,32.0,c_on,59.15648000000001,64.06144,135.57760000000002,125.99808000000002
1,38.4,51.2,44.8,c_off,21.88288,169.82528000000002,173.66016000000002,141.96736
2,51.2,64.0,57.6,c_on,59.115520000000004,63.19104000000001,134.78400000000002,130.64704
3,64.0,76.8,70.4,c_off,20.858880000000003,171.56608000000003,174.43328000000005,148.59776000000002
4,76.8,89.6,83.2,c_on,60.76928,63.55456,133.23264,128.77824
5,89.6,102.4,96.0,c_off,27.018240000000002,163.51232000000002,167.6288,156.04224000000002
6,102.4,115.2,108.8,c_on,62.535680000000006,59.550720000000005,131.05152,125.58848
7,115.2,128.0,121.6,c_off,24.488960000000002,165.60128,169.04192,142.23872
8,128.0,140.8,134.4,c_on,55.260160000000006,65.41824000000001,139.20256,129.09056
9,140.8,153.6,147.2,c_off,24.18176,166.91712,171.07456000000002,146.43200000000002
10,153.6,166.4,160.0,c_on,62.45376000000001,64.11264,130.12992,128.26112
11,166.4,179.2,172.8,c_off,24.294400000000007,161.25952,171.42783999999997,153.56416000000002
12,179.2,192.0,185.6,c_on,67.13344000000001,64.54784000000001,127.41632,123.96032000000001
13,192.0,204.8,198.4,c_off,24.488960000000002,161.99168,169.35424,144.62976
