timeMs,fixedGiB,dynamicGiB,feasibleGiB
0.0,0.0,0.0,0.0
0.1,0.001869202,0.001853943,0.002328306
0.2,0.004493713,0.003807068,0.004656613
0.3,0.006507874,0.005973816,0.006984919
0.4,0.009140015,0.008247375,0.009313226
0.5,0.011238098,0.010673523,0.011641532
0.6,0.013191223,0.012954712,0.013969839
0.7,0.015777588,0.015220642,0.016298145
0.8,0.018127441,0.017234802,0.018626451
0.9,0.020187378,0.019569397,0.020954758
1.0,0.022491455,0.02217865,0.023283064
1.1,0.024940491,0.024452209,0.025611371
1.2,0.027084351,0.026191711,0.027939677
1.3,0.029090881,0.028701782,0.030267984
1.4,0.031448364,0.030662537,0.03259629
1.5,0.034072876,0.032691956,0.034924597
1.6,0.036140442,0.035194397,0.037252903
1.7,0.038017273,0.037727356,0.039581209
1.8,0.04069519,0.040023804,0.041909516
1.9,0.042823792,0.041717529,0.044237822
2.0,0.044654846,0.044303894,0.046566129
2.1,0.047119141,0.046218872,0.048894435
2.2,0.049530029,0.048377991,0.051222742
2.3,0.051681519,0.050758362,0.053551048
2.4,0.053527832,0.053321838,0.055879354
2.5,0.056335449,0.055526733,0.058207661
2.6,0.058433533,0.0573349,0.060535967
2.7,0.060195923,0.059822083,0.062864274
2.8,0.062728882,0.061904907,0.06519258
2.9,0.064804077,0.064056396,0.067520887
3.0,0.067222595,0.066307068,0.069849193
3.1,0.06930542,0.068977356,0.0721775
3.2,0.071990967,0.071083069,0.074505806
3.3,0.074180603,0.072898865,0.076834112
3.4,0.076156616,0.075363159,0.079162419
3.5,0.078613281,0.077972412,0.081490725
3.6,0.081039429,0.080177307,0.083819032
3.7,0.083106995,0.081954956,0.086147338
3.8,0.085220337,0.084571838,0.088475645
3.9,0.087638855,0.086662292,0.090803951
4.0,0.089653015,0.088745117,0.093132257
4.1,0.092018127,0.091094971,0.095460564
4.2,0.094085693,0.09362793,0.09778887
4.3,0.09664917,0.095855713,0.100117177
4.4,0.098815918,0.097824097,0.102445483
4.5,0.10080719,0.100395203,0.10477379
4.6,0.103363037,0.102630615,0.107102096
4.7,0.105323792,0.104454041,0.109430403
4.8,0.107635498,0.106872559,0.111758709
4.9,0.109901428,0.108940125,0.114087015
5.0,0.112243652,0.111091614,0.116415322
5.1,0.114341736,0.113380432,0.118743628
5.2,0.116676331,0.115989685,0.121071935
5.3,0.119102478,0.118217468,0.123400241
5.4,0.121063232,0.120010376,0.125728548
5.5,0.123222351,0.122467041,0.128056854
5.6,0.125740051,0.124412537,0.13038516
5.7,0.128135681,0.126464844,0.132713467
5.8,0.129989624,0.12890625,0.135041773
5.9,0.13243866,0.131446838,0.13737008
6.0,0.134735107,0.133712769,0.139698386
6.1,0.136863708,0.135414124,0.142026693
6.2,0.138923645,0.138046265,0.144354999
6.3,0.141601562,0.140022278,0.146683306
6.4,0.143745422,0.142204285,0.149011612
6.5,0.145469666,0.144538879,0.151339918
6.6,0.148017883,0.14705658,0.153668225
6.7,0.14995575,0.149116516,0.155996531
6.8,0.152114868,0.151321411,0.158324838
6.9,0.154396057,0.153648376,0.160653144
7.0,0.157096863,0.156204224,0.162981451
7.1,0.159317017,0.158233643,0.165309757
7.2,0.161170959,0.16027832,0.167638063
7.3,0.163635254,0.162704468,0.16996637
7.4,0.165924072,0.164726257,0.172294676
7.5,0.168045044,0.167007446,0.174622983
7.6,0.170394897,0.169212341,0.176951289
7.7,0.172821045,0.171844482,0.179279596
7.8,0.17477417,0.173812866,0.181607902
7.9,0.176551819,0.175941467,0.183936208
8.0,0.176856995,0.178405762,0.186264515
8.1,0.176986694,0.180465698,0.188592821
8.2,0.177223206,0.182647705,0.190921128
8.3,0.17742157,0.184997559,0.193249434
8.4,0.177597046,0.187286377,0.195577741
8.5,0.177780151,0.189575195,0.197906047
8.6,0.178001404,0.191688538,0.200234354
8.7,0.178222656,0.194236755,0.20256266
8.8,0.178367615,0.196388245,0.204890966
8.9,0.178619385,0.19834137,0.207219273
9.0,0.178848267,0.201026917,0.209547579
9.1,0.179039001,0.203231812,0.211875886
9.2,0.17918396,0.205070496,0.214204192
9.3,0.179374695,0.207458496,0.216532499
9.4,0.179573059,0.209701538,0.218860805
9.5,0.179801941,0.212005615,0.221189111
9.6,0.180007935,0.213851929,0.223517418
9.7,0.180206299,0.216278076,0.225845724
9.8,0.180335999,0.217552185,0.228174031
9.9,0.180549622,0.218452454,0.230502337
10.0,0.180786133,0.220298767,0.232830644
10.1,0.180938721,0.222297668,0.23515895
10.2,0.181129456,0.22379303,0.237487257
10.3,0.181251526,0.226364136,0.239815563
10.4,0.18145752,0.228164673,0.242143869
10.5,0.181678772,0.230880737,0.244472176
10.6,0.181869507,0.233062744,0.246800482
10.7,0.1820755,0.235351562,0.249128789
10.8,0.182220459,0.237770081,0.251457095
10.9,0.182495117,0.24004364,0.253785402
11.0,0.18270874,0.241874695,0.256113708
11.1,0.182868958,0.244598389,0.258442014
11.2,0.183074951,0.246391296,0.260770321
11.3,0.183288574,0.248970032,0.263098627
11.4,0.183486938,0.250991821,0.265426934
11.5,0.183624268,0.253723145,0.26775524
11.6,0.183807373,0.255783081,0.270083547
11.7,0.184005737,0.257591248,0.272411853
11.8,0.184249878,0.260093689,0.27474016
11.9,0.184417725,0.262390137,0.277068466
12.0,0.184623718,0.264587402,0.279396772
12.1,0.184791565,0.266593933,0.281725079
12.2,0.185043335,0.26927948,0.284053385
12.3,0.18522644,0.271476746,0.286381692
12.4,0.185379028,0.273193359,0.288709998
12.5,0.185653687,0.275657654,0.291038305
12.6,0.18586731,0.277801514,0.293366611
12.7,0.186019897,0.280319214,0.295694917
12.8,0.186195374,0.282058716,0.298023224
12.9,0.1873703,0.284599304,0.30035153
13.0,0.189361572,0.286682129,0.302679837
13.1,0.191680908,0.289321899,0.305008143
13.2,0.194015503,0.29132843,0.30733645
13.3,0.196136475,0.293914795,0.309664756
13.4,0.198509216,0.295829773,0.311993062
13.5,0.200965881,0.29825592,0.314321369
13.6,0.202850342,0.300491333,0.316649675
13.7,0.205383301,0.302909851,0.318977982
13.8,0.207901001,0.305122375,0.321306288
13.9,0.209686279,0.307235718,0.323634595
14.0,0.212242126,0.309806824,0.325962901
14.1,0.21446991,0.311973572,0.328291208
14.2,0.216270447,0.314056396,0.330619514
14.3,0.218444824,0.316505432,0.33294782
14.4,0.219116211,0.318855286,0.335276127
14.5,0.220718384,0.320732117,0.337604433
14.6,0.223045349,0.323059082,0.33993274
14.7,0.225479126,0.325431824,0.342261046
14.8,0.227500916,0.327598572,0.344589353
14.9,0.22959137,0.32975769,0.346917659
15.0,0.232048035,0.332168579,0.349245965
15.1,0.234199524,0.334480286,0.351574272
15.2,0.236091614,0.336578369,0.353902578
15.3,0.238555908,0.338638306,0.356230885
15.4,0.240974426,0.341331482,0.358559191
15.5,0.243255615,0.343513489,0.360887498
15.6,0.24508667,0.345291138,0.363215804
15.7,0.247711182,0.347763062,0.365544111
15.8,0.249824524,0.350120544,0.367872417
15.9,0.251846313,0.352226257,0.370200723
16.0,0.254310608,0.354316711,0.37252903
16.1,0.256637573,0.356964111,0.374857336
16.2,0.258590698,0.359130859,0.377185643
16.3,0.26083374,0.361068726,0.379513949
16.4,0.263450623,0.363464355,0.381842256
16.5,0.265701294,0.366065979,0.384170562
16.6,0.267425537,0.368118286,0.386498868
16.7,0.269981384,0.369911194,0.388827175
16.8,0.271957397,0.372665405,0.391155481
16.9,0.273986816,0.37474823,0.393483788
17.0,0.27646637,0.376548767,0.395812094
17.1,0.278968811,0.378997803,0.398140401
17.2,0.281311035,0.381118774,0.400468707
17.3,0.283103943,0.383735657,0.402797014
17.4,0.285621643,0.385368347,0.40512532
17.5,0.287643433,0.388267517,0.407453626
17.6,0.289733887,0.390281677,0.409781933
17.7,0.292190552,0.392204285,0.412110239
17.8,0.29460907,0.394630432,0.414438546
17.9,0.29699707,0.396781921,0.416766852
18.0,0.298812866,0.399009705,0.419095159
18.1,0.301239014,0.401184082,0.421423465
18.2,0.303405762,0.40385437,0.423751771
18.3,0.305664062,0.406005859,0.426080078
18.4,0.307815552,0.407752991,0.428408384
18.5,0.310325623,0.410415649,0.430736691
18.6,0.3126297,0.412475586,0.433064997
18.7,0.314659119,0.414329529,0.435393304
18.8,0.316925049,0.416770935,0.43772161
18.9,0.319412231,0.419158936,0.440049917
19.0,0.321563721,0.421539307,0.442378223
19.1,0.32359314,0.423301697,0.444706529
19.2,0.325912476,0.426063538,0.447034836
19.3,0.328529358,0.428161621,0.449363142
19.4,0.3306427,0.430023193,0.451691449
19.5,0.332397461,0.432426453,0.454019755
19.6,0.335083008,0.434791565,0.456348062
19.7,0.337142944,0.43699646,0.458676368
19.8,0.339019775,0.439041138,0.461004674
19.9,0.34147644,0.441726685,0.463332981
20.0,0.343818665,0.443824768,0.465661287
20.1,0.346206665,0.445503235,0.467989594
20.2,0.34803009,0.448059082,0.4703179
20.3,0.350730896,0.449966431,0.472646207
20.4,0.352813721,0.452507019,0.474974513
20.5,0.35483551,0.454574585,0.477302819
20.6,0.357307434,0.45715332,0.479631126
20.7,0.359695435,0.459274292,0.481959432
20.8,0.361686707,0.461677551,0.484287739
20.9,0.364143372,0.463668823,0.486616045
21.0,0.366195679,0.465766907,0.488944352
21.1,0.368232727,0.467437744,0.491272658
21.2,0.370658875,0.467819214,0.493600965
21.3,0.373092651,0.469970703,0.495929271
21.4,0.375473022,0.472351074,0.498257577
21.5,0.377235413,0.474502563,0.500585884
21.6,0.379714966,0.476356506,0.50291419
21.7,0.381767273,0.478759766,0.505242497
21.8,0.383659363,0.481399536,0.507570803
21.9,0.386077881,0.483451843,0.50989911
22.0,0.388687134,0.485702515,0.512227416
22.1,0.390853882,0.487983704,0.514555722
22.2,0.392776489,0.490196228,0.516884029
22.3,0.395385742,0.492164612,0.519212335
22.4,0.397537231,0.494468689,0.521540642
22.5,0.399383545,0.496795654,0.523868948
22.6,0.401817322,0.499092102,0.526197255
22.7,0.403808594,0.501358032,0.528525561
22.8,0.406082153,0.503623962,0.530853868
22.9,0.408203125,0.506019592,0.533182174
23.0,0.410919189,0.507987976,0.53551048
23.1,0.412826538,0.5102005,0.537838787
23.2,0.415077209,0.512329102,0.540167093
23.3,0.41734314,0.51436615,0.5424954
23.4,0.418815613,0.516830444,0.544823706
23.5,0.419067383,0.518867493,0.547152013
23.6,0.419281006,0.521591187,0.549480319
23.7,0.419487,0.523597717,0.551808625
23.8,0.419662476,0.525688171,0.554136932
23.9,0.419891357,0.528091431,0.556465238
24.0,0.420089722,0.530029297,0.558793545
24.1,0.420288086,0.532501221,0.561121851
24.2,0.420471191,0.534545898,0.563450158
24.3,0.420669556,0.537231445,0.565778464
24.4,0.420845032,0.539276123,0.568106771
24.5,0.421073914,0.541046143,0.570435077
24.6,0.421302795,0.543754578,0.572763383
24.7,0.421447754,0.545730591,0.57509169
24.8,0.421630859,0.548019409,0.577419996
24.9,0.4217453,0.550178528,0.579748303
25.0,0.42199707,0.552848816,0.582076609
25.1,0.422180176,0.554832458,0.584404916
25.2,0.422363281,0.557136536,0.586733222
25.3,0.422561646,0.559425354,0.589061528
25.4,0.422790527,0.561782837,0.591389835
25.5,0.422996521,0.56388855,0.593718141
25.6,0.423187256,0.566139221,0.596046448
25.7,0.424057007,0.568481445,0.598374754
25.8,0.425918579,0.570632935,0.600703061
25.9,0.428245544,0.572898865,0.603031367
26.0,0.430526733,0.575263977,0.605359674
26.1,0.432937622,0.577415466,0.60768798
26.2,0.43473053,0.579795837,0.610016286
26.3,0.437332153,0.581954956,0.612344593
26.4,0.439735413,0.584632874,0.614672899
26.5,0.441596985,0.586730957,0.617001206
26.6,0.44417572,0.588653564,0.619329512
26.7,0.445648193,0.591209412,0.621657819
26.8,0.448219299,0.59337616,0.623986125
26.9,0.450820923,0.595405579,0.626314431
27.0,0.45224762,0.597801208,0.628642738
27.1,0.454788208,0.600311279,0.630971044
27.2,0.456100464,0.602333069,0.633299351
27.3,0.45854187,0.60433197,0.635627657
27.4,0.460968018,0.607048035,0.637955964
