physicalAggregators,atpHashCollisionPct,hashCollisions,gradientAttempts,medianGoodputGbps,processRepetitions
8,68.31048763963464,2364407,3461265,26.406621638371504,5
16,54.15949335068982,1875579,3463066,30.254489715931072,5
24,44.10986792201868,1528807,3465907,32.33179506589714,5
32,37.93729773240552,1312099,3458599,36.47789597630881,5
40,32.02403664434379,1107355,3457887,37.9485007621566,5
48,28.21801156687032,976017,3458844,39.06522966164069,5
56,25.625392732865276,885754,3456548,41.26215005203201,5
64,24.004384795940013,829490,3455577,42.63978406532683,5
72,21.38065747605408,739053,3456643,42.97466702634252,5
80,19.621643403061427,677823,3454466,44.641681990815904,5
88,18.357793159738755,634259,3454985,45.86633131484342,5
96,16.995606638535644,587041,3454075,46.86035721065828,5
104,16.13802174660316,557268,3453137,47.60380141693046,5
112,15.246791983717415,526399,3452523,49.02382263171472,5
120,14.605767933054025,504310,3452814,48.9787627379964,5
128,13.88679706693563,479271,3451271,49.97869688079356,5
136,12.93328464233856,446241,3450330,50.21800622123405,5
144,12.63827766197992,436139,3450937,50.554696902568416,5
152,11.850410878681709,408758,3449315,52.23119876560746,5
160,11.513753090785762,397198,3449770,51.136382855001116,5
192,10.094101288913397,348172,3449262,53.3343113972628,5
224,8.79229826812524,303209,3448575,55.17590257929717,5
256,5.908154171772307,203664,3447168,62.83844202784049,5
288,7.128338525579914,245700,3446806,59.037870518723466,5
320,6.302935135481741,217234,3446553,60.636898348913164,5
352,5.111328116498036,176131,3445895,63.56574888570391,5
384,4.27258418376454,147208,3445409,68.45455214284301,5
400,3.6704567427875614,126420,3444258,67.74362173566317,5
416,3.3277417507702824,114603,3443867,69.04785729765045,5
432,2.8800412118945333,99179,3443666,70.31979781799033,5
448,2.4650366100584438,84879,3443316,71.23010427702303,5
464,1.9048786481513864,65578,3442634,73.39867139702916,5
480,1.4771498882848566,50847,3442237,76.09377971577737,5
496,1.1219569304029964,38621,3442289,77.28898230419736,5
512,1.079885052461522,37165,3441570,85.44552763363227,5
528,0.0673121776622969,2316,3440685,87.96742489224677,5
544,0.06934667641666599,2386,3440684,86.35669095529926,5
560,0.06780608795783641,2333,3440694,86.23961293680345,5
576,0.06792242253733989,2337,3440690,87.40103555244794,5
592,0.06638155150891603,2284,3440715,86.02597615690297,5
608,0.06362060842692596,2189,3440709,86.78546018264892,5
624,0.06213889758387807,2138,3440679,87.40765236928436,5
640,0.058509141726406255,2013,3440488,95.95582325584719,5
672,0.05801172092525789,1996,3440684,86.88300049844318,5
704,0.0541463835708886,1863,3440673,88.33309947678438,5
736,0.055279834544141905,1902,3440676,87.42330904324179,5
768,0.03859744780189279,1328,3440642,96.24930296598015,5
832,0.04603742458973941,1584,3440679,87.90340285975789,5
896,0.04589302478339597,1579,3440610,96.01030651104608,5
960,0.04028292213363467,1386,3440664,88.32735902681634,5
1024,0.0,0,3440448,96.60695125484276,5
