jobs,memoryMiB,normalizationGbps,arbor,arborCi,arborGbps,arborGbpsCi,atp,atpCi,atpGbps,atpGbpsCi,switchml,switchmlCi,switchmlGbps,switchmlGbpsCi
4,1,100.0,83.418298891,0.301387323,83.418298891,0.301387323,73.963370000,0.172343784,73.963370000,0.172343784,19.549741384,0.0,19.549741384,0.0
4,2,100.0,98.0307127,0.321268743,98.0307127,0.321268743,80.773867222,0.095879950,80.773867222,0.095879950,39.076978642,0.000000163,39.076978642,0.000000163
4,3,100.0,98.187823856,0.399601771,98.187823856,0.399601771,83.871037222,0.094154782,83.871037222,0.094154782,58.576018406,0.000000365,58.576018406,0.000000365
4,4,100.0,98.187823856,0.399601771,98.187823856,0.399601771,85.787327222,0.083361573,85.787327222,0.083361573,78.05286028,0.000000647,78.05286028,0.000000647
4,5,100.0,98.187823856,0.399601771,98.187823856,0.399601771,88.232451667,1.272755848,88.232451667,1.272755848,97.495463965,0.00000101,97.495463965,0.00000101
4,6,100.0,98.187823856,0.399601771,98.187823856,0.399601771,90.863567778,4.326260432,90.863567778,4.326260432,98.982349642,0.00000109,98.982349642,0.00000109
4,7,100.0,98.187823856,0.399601771,98.187823856,0.399601771,97.856228333,3.569455302,97.856228333,3.569455302,98.982349642,0.00000109,98.982349642,0.00000109
4,8,100.0,98.187823856,0.399601771,98.187823856,0.399601771,98.711721667,0.138971553,98.711721667,0.138971553,98.982349642,0.00000109,98.982349642,0.00000109
8,1,100.0,56.322427178,0.217059748,56.322427178,0.217059748,62.272517222,0.160585804,62.272517222,0.160585804,19.549741384,0.000000001,19.549741384,0.000000001
8,2,100.0,83.515850878,0.076042037,83.515850878,0.076042037,70.998582222,0.434356175,70.998582222,0.434356175,39.07697849,0.000000829,39.07697849,0.000000829
8,3,100.0,96.602966797,0.263651795,96.602966797,0.263651795,76.578931944,0.056373575,76.578931944,0.056373575,58.576017301,0.000000527,58.576017301,0.000000527
8,4,100.0,97.797860956,0.112922844,97.797860956,0.112922844,79.341075278,0.402676761,79.341075278,0.402676761,78.052857175,0.000009196,78.052857175,0.000009196
8,5,100.0,98.301567333,0.08504012,98.301567333,0.08504012,81.452639166,0.060720232,81.452639166,0.060720232,97.495458199,0.000014233,97.495458199,0.000014233
8,6,100.0,98.301567333,0.08504012,98.301567333,0.08504012,83.334904444,0.191584606,83.334904444,0.191584606,98.982349768,0.000000545,98.982349768,0.000000545
8,7,100.0,98.301567333,0.08504012,98.301567333,0.08504012,84.964716945,0.85847771,84.964716945,0.85847771,98.982349768,0.000000545,98.982349768,0.000000545
8,8,100.0,98.301567333,0.08504012,98.301567333,0.08504012,85.399210278,0.534887315,85.399210278,0.534887315,98.982349768,0.000000545,98.982349768,0.000000545
12,1,100.0,40.427024292,0.641228704,40.427024292,0.641228704,59.536088704,0.064728606,59.536088704,0.064728606,19.549741369,0.000000049,19.549741369,0.000000049
12,2,100.0,69.196419709,0.109581259,69.196419709,0.109581259,66.30082537,0.110829324,66.30082537,0.110829324,39.076976537,0.000006191,39.076976537,0.000006191
12,3,100.0,83.564469385,0.146419256,83.564469385,0.146419256,72.100516482,0.043317985,72.100516482,0.043317985,58.576006556,0.000024008,58.576006556,0.000024008
12,4,100.0,95.571953373,0.37442676,95.571953373,0.37442676,73.336000926,0.380702058,73.336000926,0.380702058,78.052794484,0.000062676,78.052794484,0.000062676
12,5,100.0,97.199098707,0.260302183,97.199098707,0.260302183,77.415940556,0.055751092,77.415940556,0.055751092,97.494905066,0.001087017,97.494905066,0.001087017
12,6,100.0,97.784860758,0.55653998,97.784860758,0.55653998,79.149864815,0.049015914,79.149864815,0.049015914,98.98234132,0.000020407,98.98234132,0.000020407
12,7,100.0,98.416401516,0.075690926,98.416401516,0.075690926,80.647052223,0.033858186,80.647052223,0.033858186,98.98234132,0.000020407,98.98234132,0.000020407
12,8,100.0,98.407900176,0.044099361,98.407900176,0.044099361,81.482352592,0.097256803,81.482352592,0.097256803,98.98234132,0.000020407,98.98234132,0.000020407
