jobs,memoryMiB,arbor,arborCi,atp,atpCi,switchml,switchmlCi
4,1,3.242675464,0.009529850,12.818199160,0.273678695,99.987792969,0.000000000
4,2,0.000635783,0.000503756,7.090912478,0.109385609,99.975585938,0.000000000
4,3,0.000000000,0.000000000,4.984859944,0.027838954,99.963378906,0.000000000
4,4,0.000000000,0.000000000,3.837029158,0.007053046,99.951171875,0.000000000
4,5,0.000000000,0.000000000,2.564578540,0.524839014,99.938964844,0.000000000
4,6,0.000000000,0.000000000,1.574892548,0.964575196,99.926757812,0.000000000
4,7,0.000000000,0.000000000,0.194095585,0.641722786,99.914550781,0.000000000
4,8,0.000000000,0.000000000,0.036539335,0.015578689,99.902343750,0.000000000
8,1,5.032579104,0.061952693,19.264896730,0.104297931,99.987792969,0.000000000
8,2,3.089213371,0.030693386,10.950287457,0.303087903,99.975585938,0.000000000
8,3,0.138425827,0.012007591,9.907465968,0.087405203,99.963378906,0.000000000
8,4,0.004033248,0.001555971,5.703757665,0.216581719,99.951171875,0.000000000
8,5,0.000000000,0.000000000,6.421730993,0.104419124,99.938964844,0.000000000
8,6,0.000000000,0.000000000,5.184756409,0.150044704,99.926757812,0.000000000
8,7,0.000000000,0.000000000,4.191261061,0.374585043,99.914550781,0.000000000
8,8,0.000000000,0.000000000,3.586877531,0.229236323,99.902343750,0.000000000
12,1,6.936179267,0.498314741,27.357333242,0.144535172,99.987792969,0.000000000
12,2,3.919797474,0.058478065,16.038985826,0.122263496,99.975585938,0.000000000
12,3,3.006209268,0.060295358,14.143722302,0.069208132,99.963378906,0.000000000
12,4,0.264562501,0.026043112,8.966852734,0.151562563,99.951171875,0.000000000
12,5,0.060656336,0.013255192,9.471274943,0.045752226,99.938964844,0.000000000
12,6,0.006010797,0.002458263,8.073642550,0.046587060,99.926757812,0.000000000
12,7,0.000002649,0.000011399,6.995055999,0.030250840,99.914550781,0.000000000
12,8,0.000000000,0.000000000,5.730156876,0.112768177,99.902343750,0.000000000
