memoryKiB,memoryMiB,stateSlots,jobs,arbor,arborCi,atp,atpCi,switchml,switchmlCi,arborJ1,atpJ1,switchmlJ1
1024,1.0,128,1,98.336295,0.000000,98.921243,0.000000,98.982350,0.000000,100.000000,100.000000,100.000000
1024,1.0,128,2,98.326458,0.139642,75.975804,37.740702,98.982350,0.000000,99.989997,76.804336,100.000000
1024,1.0,128,4,89.847111,3.074364,55.788808,5.822803,98.982346,0.000017,91.367192,56.397196,99.999996
1024,1.0,128,8,66.110267,1.748850,37.886109,0.353210,78.052097,0.001085,67.228755,38.299264,78.854560
1024,1.0,128,12,47.419859,1.650078,31.377120,0.497850,48.829684,0.000161,48.222133,31.719294,49.331708
1024,1.0,128,16,34.026656,1.737273,25.997761,0.425979,39.076831,0.000453,34.602337,26.281272,39.478585
2048,2.0,256,1,98.336295,0.000000,98.921243,0.000000,98.982350,0.000000,100.000000,100.000000,100.000000
2048,2.0,256,2,98.326458,0.139642,98.639390,1.212336,98.982350,0.000000,99.989997,99.715073,100.000000
2048,2.0,256,4,98.148319,0.038752,83.944554,4.537378,98.982346,0.000017,99.808843,84.859987,99.999996
2048,2.0,256,8,92.965484,0.692253,57.092649,2.838722,98.982323,0.000041,94.538323,57.715256,99.999973
2048,2.0,256,12,78.708394,3.206372,40.915958,0.596769,98.982288,0.000106,80.040024,41.362155,99.999937
2048,2.0,256,16,67.076596,1.719667,32.267741,0.728829,78.045145,0.004739,68.211433,32.619627,78.847537
4096,4.0,512,1,98.336295,0.000000,98.921243,0.000000,98.982350,0.000000,100.000000,100.000000,100.000000
4096,4.0,512,2,98.326458,0.139642,98.732709,0.810814,98.982350,0.000000,99.989997,99.809409,100.000000
4096,4.0,512,4,98.416843,0.442374,98.872590,0.209145,98.982346,0.000017,100.081910,99.950816,99.999996
4096,4.0,512,8,98.327676,0.287955,83.142071,7.426634,98.982323,0.000041,99.991235,84.048752,99.999973
4096,4.0,512,12,96.915370,0.257348,60.428564,3.892492,98.982288,0.000106,98.555035,61.087550,99.999937
4096,4.0,512,16,95.316896,0.500561,41.395698,4.021061,98.982186,0.000139,96.929517,41.847127,99.999834
43008,42.0,5376,1,98.336295,0.000000,98.921243,0.000000,98.982350,0.000000,100.000000,100.000000,100.000000
43008,42.0,5376,2,98.326458,0.139642,98.910106,0.047926,98.982350,0.000000,99.989997,99.988741,100.000000
43008,42.0,5376,4,98.416843,0.442374,98.912021,0.039472,98.982346,0.000017,100.081910,99.990677,99.999996
43008,42.0,5376,8,98.375503,0.045196,98.905324,0.040456,98.982323,0.000041,100.039871,99.983907,99.999973
43008,42.0,5376,12,98.471805,0.137912,86.615709,6.206286,98.982288,0.000106,100.137802,87.560271,99.999937
43008,42.0,5376,16,96.832460,1.241166,63.588459,1.086463,98.982186,0.000139,98.470722,64.281904,99.999834
