memoryKiB,stateSlots,activeJobs,totalJobs,rankPools,dutyPct,arbor,atp,switchml,arborActiveMean,atpActiveMean,switchmlActiveMean,arborPoolOverlapPct,atpPoolOverlapPct,switchmlPoolOverlapPct,atpCollisionPct,arborAggMiss,arborRepairs
1024,128,1,2,2,50,99.027857,99.122895,99.156398,0.949342,0.948972,0.948695,0.0,0.0,0.0,0.0,0,0
1024,128,2,4,4,50,99.027857,81.483238,99.156398,1.781687,1.996196,1.780406,0.0,0.0,0.0,6.549644,0,0
1024,128,4,8,8,50,99.027857,58.805952,99.156398,3.456869,4.431684,3.454323,0.0,0.0,0.0,23.133437,0,0
1024,128,8,16,16,50,96.427081,47.44786,71.55574,6.963664,9.625924,8.102777,0.0,0.0,0.0,38.048649,11740,7575
1024,128,12,24,24,50,48.957369,43.0062,44.738683,14.607758,15.177723,14.864587,0.0,0.0,0.0,44.409307,374873,159559
1024,128,16,32,32,50,39.707479,39.196548,35.796513,20.369229,20.846459,21.421581,0.0,0.0,0.0,48.930804,947889,427244
2048,256,1,2,2,50,99.027857,99.122895,99.156398,0.949342,0.948972,0.948695,0.0,0.0,0.0,0.0,0,0
2048,256,2,4,4,50,99.027857,98.35827,99.156398,1.781687,1.790832,1.780406,0.0,0.0,0.0,0.087929,0,0
2048,256,4,8,8,50,99.027857,78.33974,99.156398,3.456869,3.955682,3.454323,0.0,0.0,0.0,7.87576,0,0
2048,256,8,16,16,50,99.027857,58.727096,99.156398,6.811937,8.703224,6.806863,0.0,0.0,0.0,23.993111,0,0
2048,256,12,24,24,50,94.701761,51.078965,89.417905,10.43027,13.956901,10.770376,0.0,0.0,0.0,32.902877,341,341
2048,256,16,32,32,50,94.729433,47.722513,71.55574,13.838996,19.157257,16.103652,0.0,0.0,0.0,38.755178,16817,11285
2048,256,24,48,48,50,50.026356,42.909945,44.738683,29.136356,30.190789,29.633582,0.0,0.0,0.0,44.978762,440951,199595
2048,256,32,64,64,50,41.106418,38.780191,35.796513,39.968982,41.698619,42.753711,0.0,0.0,0.0,49.440221,1758035,815826
4096,512,1,2,2,50,99.027857,99.122895,99.156398,0.949342,0.948972,0.948695,0.0,0.0,0.0,0.0,0,0
4096,512,2,4,4,50,99.027857,99.10478,99.156398,1.781687,1.784116,1.780406,0.0,0.0,0.0,0.029055,0,0
4096,512,4,8,8,50,99.027857,97.921082,99.156398,3.456869,3.487113,3.454323,0.0,0.0,0.0,0.15564,0,0
4096,512,8,16,16,50,99.027857,76.165996,99.156398,6.811937,7.937458,6.806863,0.0,0.0,0.0,9.490299,0,0
4096,512,16,32,32,50,99.027857,58.122958,99.156398,13.524095,17.429793,13.514176,0.0,0.0,0.0,24.284871,7,7
4096,512,32,64,64,50,94.729433,47.864547,71.55574,27.577114,38.141911,32.10636,0.0,0.0,0.0,38.516243,28369,19241
4096,512,48,96,48,50,50.335595,30.885858,44.738683,56.029427,65.481697,59.173115,30.998788,49.870451,33.33866,41.411938,269038,194504
4096,512,64,128,64,50,38.689885,27.475731,35.796513,82.695336,89.06425,85.418315,43.901231,54.603781,42.851872,45.222197,1482835,1156905
