primitive,primitive_label,message_size_key,message_size_label,message_bytes,conversion_factor,api_gbps_median,api_gbps_min,api_gbps_max,api_gbps_mean,api_gbps_stdev,api_gbps_n,equivalent_gbps_median,equivalent_gbps_min,equivalent_gbps_max,equivalent_gbps_mean,equivalent_gbps_stdev,equivalent_gbps_n
allreduce,AllReduce,64k,64 KiB,65536,1,7.489207566922216,7.470502970131098,7.5006302952495485,7.48787032566705,0.013166355744066622,5,7.489207566922216,7.470502970131098,7.5006302952495485,7.48787032566705,0.013166355744066622,5
allreduce,AllReduce,256k,256 KiB,262144,1,23.621674717706025,23.586558414562802,23.653611822230193,23.616749267289848,0.026170901209532714,5,23.621674717706025,23.586558414562802,23.653611822230193,23.616749267289848,0.026170901209532714,5
allreduce,AllReduce,1m,1 MiB,1048576,1,50.89008751275377,50.88504946860628,50.95883710511963,50.904967563457795,0.031077844864326097,5,50.89008751275377,50.88504946860628,50.95883710511963,50.904967563457795,0.031077844864326097,5
allreduce,AllReduce,4m,4 MiB,4194304,1,77.74864226847059,77.31981659592651,77.99112564273892,77.67593791175459,0.30606635718564845,5,77.74864226847059,77.31981659592651,77.99112564273892,77.67593791175459,0.30606635718564845,5
allreduce,AllReduce,16m,16 MiB,16777216,1,90.35885162471293,90.03471228292456,90.72976523242046,90.31911616905052,0.2749380098880348,5,90.35885162471293,90.03471228292456,90.72976523242046,90.31911616905052,0.2749380098880348,5
allreduce,AllReduce,64m,64 MiB,67108864,1,97.21718556155491,97.13075544702116,97.31468021549888,97.23431386280083,0.07510205170971833,5,97.21718556155491,97.13075544702116,97.31468021549888,97.23431386280083,0.07510205170971833,5
reduce,Reduce,64k,64 KiB,65536,1,10.303083591171944,10.191784950061793,10.356420505004921,10.28041239779549,0.06699765104299932,5,10.303083591171944,10.191784950061793,10.356420505004921,10.28041239779549,0.06699765104299932,5
reduce,Reduce,256k,256 KiB,262144,1,28.4789430674659,27.916779383282073,28.516313550970928,28.35778245792823,0.2527788627005994,5,28.4789430674659,27.916779383282073,28.516313550970928,28.35778245792823,0.2527788627005994,5
reduce,Reduce,1m,1 MiB,1048576,1,57.20241651271042,57.11096979691487,57.31153576443202,57.218301327965044,0.07698040633235907,5,57.20241651271042,57.11096979691487,57.31153576443202,57.218301327965044,0.07698040633235907,5
reduce,Reduce,4m,4 MiB,4194304,1,73.29535675447778,70.79911942170561,73.44695020631654,72.77620239821974,1.1148464073786633,5,73.29535675447778,70.79911942170561,73.44695020631654,72.77620239821974,1.1148464073786633,5
reduce,Reduce,16m,16 MiB,16777216,1,85.10928662537108,82.85061559537078,86.19493247804833,85.04338620604231,1.3230819984245843,5,85.10928662537108,82.85061559537078,86.19493247804833,85.04338620604231,1.3230819984245843,5
reduce,Reduce,64m,64 MiB,67108864,1,86.59181721862466,85.82456182980398,87.33449622964247,86.64818157006,0.5532224525762433,5,86.59181721862466,85.82456182980398,87.33449622964247,86.64818157006,0.5532224525762433,5
broadcast,Broadcast,64k,64 KiB,65536,1,11.901253982417126,11.887775682218983,11.914997191312779,11.902183661708394,0.01234746700228105,5,11.901253982417126,11.887775682218983,11.914997191312779,11.902183661708394,0.01234746700228105,5
broadcast,Broadcast,256k,256 KiB,262144,1,33.51444152105079,33.40388258017953,33.62098115997693,33.522415883122264,0.08286933674369322,5,33.51444152105079,33.40388258017953,33.62098115997693,33.522415883122264,0.08286933674369322,5
broadcast,Broadcast,1m,1 MiB,1048576,1,64.95019160981705,64.7822835941218,64.96332434699943,64.92078703031356,0.07769811148624403,5,64.95019160981705,64.7822835941218,64.96332434699943,64.92078703031356,0.07769811148624403,5
broadcast,Broadcast,4m,4 MiB,4194304,1,85.83758817875784,85.80434060833954,85.88396788024724,85.83877090102841,0.031577916974278766,5,85.83758817875784,85.80434060833954,85.88396788024724,85.83877090102841,0.031577916974278766,5
broadcast,Broadcast,16m,16 MiB,16777216,1,93.56361791511502,93.49814837861177,93.63907709529832,93.57318071088878,0.05246761667407238,5,93.56361791511502,93.49814837861177,93.63907709529832,93.57318071088878,0.05246761667407238,5
broadcast,Broadcast,64m,64 MiB,67108864,1,96.58011625177392,96.49668956542683,96.60641409573486,96.56138088754474,0.04597821720330831,5,96.58011625177392,96.49668956542683,96.60641409573486,96.56138088754474,0.04597821720330831,5
allgather,AllGather,64k,64 KiB,65536,3,8.135616944460859,8.120827322652653,8.150958897113231,8.137045895881279,0.011155279399150996,5,24.406850833382578,24.36248196795796,24.452876691339693,24.411137687643837,0.0334658381974522,5
allgather,AllGather,256k,256 KiB,262144,3,16.592694298591855,16.566156028047885,16.626523993761143,16.594919269822906,0.021533435810387073,5,49.77808289577557,49.698468084143656,49.87957198128343,49.78475780946872,0.06460030743116256,5
allgather,AllGather,1m,1 MiB,1048576,3,23.720084620033184,23.66263454654415,23.757336138724202,23.717963033259288,0.03470624752958388,5,71.16025386009954,70.98790363963245,71.27200841617261,71.15388909977786,0.10411874258875431,5
