profile,pollers_per_rank,total_pollers,message_size_key,message_size_label,api_gbps_median,api_gbps_min,api_gbps_max,api_gbps_mean,api_gbps_stdev,api_gbps_n
p2,2,8,64k,64 KiB,10.303083591171944,10.191784950061793,10.356420505004921,10.28041239779549,0.06699765104299932,5
p2,2,8,256k,256 KiB,28.4789430674659,27.916779383282073,28.516313550970928,28.35778245792823,0.2527788627005994,5
p2,2,8,1m,1 MiB,57.20241651271042,57.11096979691487,57.31153576443202,57.218301327965044,0.07698040633235907,5
p2,2,8,4m,4 MiB,73.29535675447778,70.79911942170561,73.44695020631654,72.77620239821974,1.1148464073786633,5
p2,2,8,16m,16 MiB,85.10928662537108,82.85061559537078,86.19493247804833,85.04338620604231,1.3230819984245843,5
p2,2,8,64m,64 MiB,86.59181721862466,85.82456182980398,87.33449622964247,86.64818157006,0.5532224525762433,5
p4,4,16,64k,64 KiB,9.005453991041447,8.986580620921334,9.018574388205408,9.005315027601869,0.012896392814333395,5
p4,4,16,256k,256 KiB,28.804071387706415,28.790111701228657,28.895220383337474,28.829901049854925,0.045356647546909094,5
p4,4,16,1m,1 MiB,60.4182796524202,60.30429743686448,60.62306589069154,60.42873068013009,0.13230569871961867,5
p4,4,16,4m,4 MiB,85.20461475675019,85.11075865410801,85.27356890444322,85.19805328021233,0.05823006742300605,5
p4,4,16,16m,16 MiB,95.15512614736907,95.0977731231055,95.2244829965159,95.15548794113516,0.05507311132084809,5
p4,4,16,64m,64 MiB,97.86860953218257,97.71712172629223,97.89971790443062,97.84163857847156,0.07374248774090274,5
