system,system_id,time_ms,median_gbps,min_gbps,max_gbps,q1_gbps,q3_gbps,attempts
Arbor,0,-7.5,45.749441443907514,18.759902553164686,49.842139983688526,32.48795268302663,49.47345585882706,10
Arbor,0,-6.5,45.25722229470229,27.2063436444229,71.14166558147706,38.42736184275819,49.0128582368455,10
Arbor,0,-5.5,49.271854701141194,29.586935811672838,73.05827172731736,39.950000867987455,61.980879026621494,10
Arbor,0,-4.5,49.61921868977565,31.413901072144142,86.15602587874622,38.732638891278555,66.72687613529747,10
Arbor,0,-3.5,49.371672521401564,31.429032806706584,87.85572916593753,40.31593942418936,70.7698405078091,10
Arbor,0,-2.5,49.447920089104436,30.52956076422777,87.8662246631372,44.5240101402113,71.69239127779416,10
Arbor,0,-1.5,53.940303370815066,49.18797496463749,87.81206602228663,50.46779570517123,74.6648830179419,10
Arbor,0,-0.5,81.41371767566704,54.91853756860861,90.3786761087323,66.52724344825006,86.87411406348203,10
Arbor,0,0.5,96.50936424021273,94.01177240959979,98.3197534267807,95.04228859563759,96.8552461888871,10
Arbor,0,1.5,99.07523824920779,98.96389661685475,99.32584046403207,99.01765182765408,99.16109879584278,10
Arbor,0,2.5,99.02435540864238,98.66414310131942,99.18112123950254,98.88796535272479,99.07289335359147,10
Arbor,0,3.5,99.05555826310913,98.87245428823977,99.24217760955223,98.90648621748781,99.160365400758,10
Arbor,0,4.5,98.99241090959649,98.91194025511814,99.16696258804214,98.95983007289655,99.08290969600482,10
Arbor,0,5.5,98.9969663401543,98.83624011164873,99.187958471992,98.9503388974571,99.08407733171228,10
Arbor,0,6.5,98.9537081761307,98.76057993817994,99.123462144,98.94286006720137,99.05289555311023,10
Arbor,0,7.5,99.04641131467883,98.64880116604917,99.2178693405135,99.01173577091542,99.12030291226094,10
Arbor,0,8.5,99.02553623271194,98.78150916264502,99.18543395534681,98.9178399024712,99.10401304233248,10
Arbor,0,9.5,98.97318292028922,80.7065070841081,99.05381158716813,98.91703621372966,99.02883797053121,10
ATP,1,-7.5,20.681519140827174,6.447104,36.02488877522478,18.29504005524076,21.654167552,10
ATP,1,-6.5,20.96707243793682,12.994248704,35.31098031114159,18.76344810853969,26.397339110886882,10
ATP,1,-5.5,28.070736059805885,14.655619072,62.79648220124125,19.84303820405043,32.929824768,10
ATP,1,-4.5,33.241563135999996,18.865133961157,43.518164991999996,23.595311103999997,38.973833216,10
ATP,1,-3.5,39.638401024000004,12.774092732149693,54.801661952,22.715629568,46.97244305978821,10
ATP,1,-2.5,40.419377151999996,20.552810496,52.425392128,28.205001752448027,43.69165768089851,10
ATP,1,-1.5,41.127280639999995,16.93899433846647,61.83413350399999,27.411123867291295,50.89362259488288,10
ATP,1,-0.5,34.656741658880286,12.452429824000001,65.945960448,26.970131444747253,44.732076068900895,10
