system,topology,donor,physicalA,overlapMedian,overlapMin,overlapMax,postMedian,postMin,postMax,reuseMedian,t90MedianUs,t90Censored
Arbor,n4,0,136,49.619757448,49.520468140,49.813135028,87.337773870,87.031632888,87.862193073,1.757330304,1998,0
Arbor,n4,1,136,49.471275134,49.435088150,49.495744978,86.769160617,85.786624000,87.577941726,1.753489891,1998,0
Arbor,n3,0,136,49.243017219,49.096903829,49.489679059,72.977939865,71.555870951,73.504594919,1.482556499,1506,0
Arbor,n3,1,136,49.428823914,49.281238449,49.514473364,73.854681449,73.129249089,74.013471795,1.494149149,1998,0
ATP,n4,0,136,24.215552000,20.348921594,25.133056000,39.108608000,38.240256000,40.193642090,1.668470936,19927.5,1
ATP,n4,1,136,25.067520000,23.652374505,26.656768000,40.783761297,37.355520000,41.494571051,1.560009111,4539,2
ATP,n3,0,136,26.109958138,23.959476148,27.387001455,40.304640000,36.831232000,42.686065039,1.491477942,9539,2
ATP,n3,1,136,25.001984000,22.609920000,28.613876981,41.779200000,38.285790753,42.739837053,1.562722105,1473,4
SwitchML,n4,0,136,23.718086011,23.668954917,23.811905345,45.975216248,45.924352000,46.160435764,1.937548832,1814,0
SwitchML,n4,1,136,23.390492388,23.341356755,23.786492087,46.120947240,45.663684036,46.193194068,1.950138969,1903,0
SwitchML,n3,0,136,23.636198714,23.588367888,23.869982178,46.027540190,45.875131275,46.268406366,1.946481189,1633,0
SwitchML,n3,1,136,23.701772020,23.592960000,23.864064511,45.858816000,45.673635625,46.125821187,1.936170603,1795,0
