physicalA,jobs,arborMedian,arborMinus,arborPlus,arborStatus,atpMedian,atpMinus,atpPlus,atpStatus,switchmlMedian,switchmlMinus,switchmlPlus,switchmlStatus
8,1,18.165638454,0.284603836,0.309119097,PASS,13.743191696,0.030111943,0.017493008,PASS,13.341443966,0.023174100,0.015966153,PASS
16,1,28.072709171,2.266818437,0.174585750,PASS,26.817425428,0.897159693,0.103706876,PASS,24.901687135,0.032137193,0.061668449,PASS
24,1,40.375341205,0.155471258,0.186994901,PASS,39.853295109,1.186593487,0.287906696,PASS,36.942777361,0.041998203,0.030682947,PASS
32,1,64.423220976,0.004638045,0.021653045,PASS,51.164477787,1.763967653,0.297993696,PASS,47.852528148,0.270497032,0.088966665,PASS
40,1,84.541274880,0.244246869,0.193476615,PASS,60.304997847,0.308896631,0.172316919,PASS,58.452756095,0.036367544,0.150785458,PASS
48,1,95.540532095,0.174802380,0.088493395,PASS,70.357719652,0.392836654,0.293713167,PASS,67.049474928,0.162041775,0.108431133,PASS
56,1,95.666514371,0.415838053,0.095559010,PASS,78.116084259,0.957508687,0.568086835,PASS,72.705024245,0.521845168,0.546452189,PASS
64,1,95.707444870,0.182212316,0.039257940,PASS,84.451854644,0.949000555,0.596679350,PASS,78.506220445,0.632073278,0.494829624,PASS
72,1,95.731337173,0.240086061,0.135044742,PASS,87.558673850,0.234391245,0.326799395,PASS,79.371667584,0.213109814,1.147768962,PASS
80,1,95.671628769,0.205847877,0.208449811,PASS,87.564557609,0.052240672,1.025487690,PASS,87.592873545,0.516449422,0.133539860,PASS
88,1,96.017260793,0.085784845,0.417376367,PASS,91.322561824,0.233654981,0.522966464,PASS,86.856293823,0.910743575,0.254745751,PASS
96,1,96.208252603,0.048249737,0.112195206,PASS,87.988142181,0.109113751,0.378775692,PASS,92.680536067,0.715657626,0.545641608,PASS
104,1,96.010392360,0.039474429,0.419048502,PASS,88.564616576,1.104250047,0.442900316,PASS,91.034353468,0.516481585,0.165343750,PASS
112,1,96.172060762,0.268003599,0.136291915,PASS,93.226339561,1.229092259,1.197101374,PASS,95.420375745,0.591854924,0.069618518,PASS
120,1,97.255699431,0.131956826,0.160589876,PASS,91.150674847,1.559423993,1.196069586,PASS,92.233087995,1.008193277,0.081644405,PASS
128,1,97.176482343,0.124724868,0.142683810,PASS,91.982399553,0.793762521,0.536089120,PASS,95.478480343,0.187330138,0.157699846,PASS
136,1,97.391548662,0.081202285,0.065413290,PASS,90.448942184,3.681393227,3.285001713,PASS,92.965336198,0.241901546,0.112790557,PASS
144,1,97.407451920,0.028268868,0.008837387,PASS,93.623608169,1.235481986,0.700693856,PASS,95.918655715,0.206330958,0.081916493,PASS
152,1,97.433968893,0.042420231,0.045996971,PASS,94.598469850,0.708403254,0.218294111,PASS,92.706942812,62.133846317,0.614909695,PASS
160,1,97.441042525,0.024753218,0.030074396,PASS,93.100465857,0.691221334,1.637257893,PASS,96.108498034,0.068014661,0.074038327,PASS
